id,contract_price,date_of_publication,procurement_name,place_of_performance,system_number,contracting_authority_id,supplier_id,date_of_contract_close
762,247933.88,2020-04-09,"Údržby, servis a opravy autobusu Iveco",Česká republika,N006/20/V00007221,4,364,
763,5350.00,2023-09-21,Zhotovování stomatologických protetických výrobků v roce 2023,Olomoucký kraj,N006/23/V00022389,4,891,
764,1850000.00,2022-08-15,22-019 AB Šeříková - celková rekonstrukce kotelny,Hlavní město Praha,N006/22/V00021142,108,774,
765,753065.79,2023-09-21,Nákup NM z RD 2023 (1),Česká republika,N006/22/V00034028,26,726,
766,492400.00,2023-09-18,Jiřice - oprava ležatých rozvodů vody SO 028,Středočeský kraj,N006/23/V00024866,120,895,
767,12100.00,2023-09-21,Zhotovování stomatologických protetických výrobků v roce 2023,Olomoucký kraj,N006/23/V00022382,4,891,
768,448169.47,2023-08-18,Karviná - oprava stoupaček,Moravskoslezský kraj,N006/23/V00014040,120,898,
769,1053157.00,2023-07-28,"38-23 Brno Voříškova 2, oprava kancelářských protor, II. etapa",Jihomoravský kraj,N006/23/V00021213,2,899,
770,3770000.00,2019-10-22,"Tábor, kasárna Prokopa Holého – rekonstrukce budovy č. 69",Jihočeský kraj,N006/19/V00028074,4,529,
771,3199074.00,2023-03-31,Nákup plovoucí garáže,Pardubický kraj,N006/23/V00009057,75,901,
772,2817.00,2023-09-21,DP - RD Příprava vozidla na STK a provedení STK 213-48-68.,Hlavní město Praha,N006/23/V00022822,4,902,
773,4654000.00,2023-06-19,Gastrotechnologie - Vzdělávací zařízení Brno,Jihomoravský kraj,N006/23/V00017279,26,903,
774,306830.00,2023-06-13,4-23 Výměna hlavních domovních elektro rozvaděčů BD Voříškova 2 a Stamicova 3,Jihomoravský kraj,N006/23/V00016819,2,904,
775,7540686.02,2023-09-21,Nákup BA95 z RD 2023 (1),Česká republika,N006/22/V00034018,26,726,
776,19338.84,2020-04-28,Výzva k plnění č. 3 k rámcové dohodě číslo: Sp.zn. SpMO 5552/2020-1837-9,Pardubický kraj,N006/20/V00008029,4,868,
777,5918222.04,2022-11-09,„22-072 BUT rekonstrukce a přestavba AB a vrátnice,Královéhradecký kraj,N006/22/V00030284,108,905,
778,40500.00,2022-09-29,Audio a video zařízení pro prezentaci,Středočeský kraj,N006/22/V00025716,4,217,
779,376576.80,2022-09-26,Dopravní značení II.,Středočeský kraj,N006/22/V00025446,4,908,
780,1000000.00,2023-07-28,29-23 Havarijní služba 2023 v bytových a nebytových objektech MČ Brno-Kohoutovice,Jihomoravský kraj,N006/23/V00021214,2,909,
781,9213263.00,2023-05-05,"Samonabíjecí OPu ráže 6,5 mm s příslušenstvím",Olomoucký kraj,N006/23/V00012512,4,910,
782,80071.00,2020-05-06,"Výzva k plnění č. 5 k rámcové dohodě Sp.zn. SpMO 21949/2019-1837-7, Oprava T 815",Česká republika,N006/20/V00010528,4,60,
783,1572756.00,2022-11-10,22-055 SAZ sanace a oprava soklů objektů A a B realizace,Kraj Vysočina,N006/22/V00030611,108,911,
784,62880.00,2022-09-20,Nákup hasících přístrojů,Středočeský kraj,N006/22/V00024735,4,233,
785,5000000.00,2023-07-28,35-23 Opakující se vodoinstalatérské práce 2023 v bytových a nebytových objektech MČ Brno - Kohoutovice,Jihomoravský kraj,N006/23/V00021216,2,909,
786,58800.00,2023-07-19,Plynové kartuše,Ústecký kraj,N006/23/V00020298,4,51,
787,290498.82,2022-11-25,"22-054 SAZ oprava omítek, podlah a vymalování kanceláří v administrativní části objektu A",Kraj Vysočina,N006/22/V00032184,108,916,
788,9917.34,2023-06-16,Petrovice u Sedlčan - mini tendr na ZP,Středočeský kraj,N006/23/V00016504,38,921,
789,456437.00,2023-01-04,21-118.4 VIN – Výměna vjezdových bran,Středočeský kraj,N006/23/V00000023,108,631,
790,4265.50,2023-09-21,"OL - servis 3 služebních vozů_KoP Šumperk, obj. 224",Olomoucký kraj,N006/23/V00026493,30,923,
791,242000.00,2020-05-05,Nákup tonerů a obrazových válců,Pardubický kraj,N006/20/V00010580,4,807,
792,4090.91,2023-06-20,Tochovice - mini tendr na ZP,Středočeský kraj,N006/23/V00016527,38,921,
793,431431452.56,2023-05-22,"Tisk, kompletace a distribuce volebních materiálů pro volby konané od 1. 1. 2024 do 30. 6. 2027",Česká republika,N006/23/V00012023,26,925,
794,57802.30,2020-05-06,"Výzva k plnění č. 2 k rámcové dohodě Sp.zn. SpMO 14730/2020-1837-8, Oprava vozidla Škoda Fabia",Královéhradecký kraj,N006/20/V00010596,4,926,
795,89859607.63,2023-05-31,„Vodovod a odkanalizování obce Bukovec“,Plzeňský kraj,N006/23/V00015399,121,927,
796,598604.00,2023-08-03,Úprava čerpací stanice pohonných hmot pro VPŠ a SPŠ MV v Praze,Hlavní město Praha,N006/23/V00021839,122,930,
797,3430.00,2023-09-21,"OL - roční kontrola protipožárních ucpávek_KoP Prostějov, obj. 238",,N006/23/V00026487,30,223,
798,547591.23,2023-05-19,"Zlín - I. segment, plocha pro zásobování",Zlínský kraj,N006/23/V00013929,40,931,
799,891895.64,2023-08-10,Odbahnění a revitalizace návesní tůně,Středočeský kraj,N006/23/V00022464,123,934,
800,6300.00,2023-09-21,Znalecký posudek v k.ú. Královo Pole,Česká republika,N006/23/V00021130,38,935,
801,4600.00,2020-05-18,"Výzva k plnění č. 1 k rámcové dohodě Sp.zn. SpMO 14730/2020-1837-8, Odtah vozidla Škoda Fabia",Královéhradecký kraj,N006/20/V00011408,4,926,
802,4379935.00,2023-09-21,Čepice a klobouky 95 - Výzva k poskytnutí plnění č. 202210298,Jihomoravský kraj,N006/20/V00018034,4,938,
803,615000.00,2023-06-30,OS Děčín – pořízení RTG zavazadel,Ústecký kraj,N006/23/V00018935,124,939,
804,72800.00,2023-06-13,Studie - zasedací místnost ČSÚ,Hlavní město Praha,N006/23/V00016782,56,941,
805,252530.00,2023-09-21,"DNS - Kancelářský papír pro běžný tisk, Kategorie č. 1, Lokalita MORAVA, Výzva č. 18",Česká republika,N006/23/V00022919,4,86,
806,343325.00,2023-09-21,"DNS - Kancelářský papír pro běžný tisk, Kategorie č. 1, Lokalita JIHOVÝCHOD, Výzva č. 17",Česká republika,N006/23/V00022915,4,86,
807,371655.00,2023-09-21,"DNS - Kancelářský papír pro běžný tisk, Kategorie č. 1, Lokalita SEVEROVÝCHOD, Výzva č. 16",Česká republika,N006/23/V00022912,4,86,
808,316800.00,2023-09-15,23440/2023-HO SW Matlab - roční údržba multilicence,Jihomoravský kraj,N006/23/V00023694,4,946,
809,97790.00,2023-09-21,"DNS - Kancelářský papír pro běžný tisk, Kategorie č. 1, Lokalita SEVEROZÁPAD, Výzva č. 15",Česká republika,N006/23/V00022907,4,944,
810,44915702.48,2019-01-10,Oděv pro osádky vrtulníků,Jihomoravský kraj,N006/18/V00030040,4,947,
811,204803349.36,2023-02-01,IFF mód 5 RVR,,N006/23/V00002651,4,149,
812,30000.00,2023-09-01,Nákup spotřebního materiálu pro reprografickou techniku,Plzeňský kraj,N006/23/V00024354,38,948,
813,2122594.00,,Letecký monitoring a měření telekomunikačních objektů,Hlavní město Praha,N006/23/V00014349,96,273,
814,267850.00,2023-09-21,"DNS - Kancelářský papír pro běžný tisk, Kategorie č. 1, Lokalita JIHOZÁPAD, Výzva č. 14",Česká republika,N006/23/V00022904,4,86,
815,581169.47,2023-08-24,PS 0104 - Oprava střech a opláštění na budovách č.016 a 079 ve VTM Lešany,Středočeský kraj,N006/23/V00003234,4,56,
816,353805.00,2023-09-21,"DNS - Kancelářský papír pro běžný tisk, Kategorie č. 1, Lokalita STŘED, Výzva č. 13",Česká republika,N006/23/V00022754,4,86,
817,38180.00,2023-08-11,"Zimní údržba areálu administrativní budovy Mariánské Lázně, Hlavní 661",Karlovarský kraj,N006/23/V00006731,38,951,
818,312272.00,2020-05-20,"Výzva k plnění č. 7 k rámcové dohodě Sp.zn. SpMO 21949/2019-1837-7, Oprava vozidla T 815",Královéhradecký kraj,N006/20/V00011757,4,60,
819,35.00,2023-04-13,Praní prádla 2023-2024,Pardubický kraj,N006/23/V00005902,75,952,
820,226031.00,2023-08-15,PS 0016 - Lány - Malování a výměna podlahové krytiny,Středočeský kraj,N006/23/V00022344,4,953,
821,686180.00,2023-09-21,Pronájem tiskáren 2023,,N006/23/V00026454,125,959,
822,9598912.58,2023-02-13,Zprostředkování nákupu emisních povolenek pro rok 2023,Hlavní město Praha,N006/23/V00003763,126,960,
823,1904419.00,2023-05-09,Vnitřní opravy objektu Tělocvičny v areálu KŘP Msk Frýdek-Místek,Moravskoslezský kraj,N006/23/V00012708,52,962,
824,45000.00,2023-05-15,"KŘP KVy - P 2.0 - ÚO Třebíč, Bráfova tř. 1247/11 - rekonstrukce kotelny - výkon koordinátora BOZP",Kraj Vysočina,N006/23/V00010350,10,963,
825,28638.00,2023-08-16,Vánoční osvětlení venkovní,Pardubický kraj,N006/23/V00022820,4,964,
826,5744724.00,2022-09-29,GDS - přístupové lokality,,N006/22/V00017963,4,572,
827,10829887.59,2023-07-14,"KŘP Pzk - Plzeň, Sedláčkova 44 - vybudování cel pro vícehodinové umístění",Plzeňský kraj,N006/23/V00019966,83,966,
828,47820000.00,2023-06-13,Odkanalizování a čištění splaškových vod v obci Bednáreček,Jihočeský kraj,N006/23/V00016925,127,336,
829,1109077.69,2021-12-21,Operativní leasing vozidel Škoda Superb dle RD,,N006/21/V00033712,75,969,
830,1821946.00,2023-04-11,"KŘP Msk – P 2.0 – OOP Hradec nad Moravicí, Lidická 316 – zateplení objektu",Moravskoslezský kraj,N006/23/V00009533,52,970,
831,52714.00,2023-04-17,"KŘP KVy - P 2.0 - ÚO Třebíč, Bráfova tř. 1247/11 - rekonstrukce kotelny - výkon TDS",Kraj Vysočina,N006/23/V00010349,10,518,
832,4869184.64,,OPRAVA KOMUNIKACÍ V OBCI PŘEHVOZDÍ – ÚSEK 3,Středočeský kraj,N006/21/V00007161,128,71,
833,2601015.43,,OPRAVA KOMUNIKACÍ V OBCI PŘEHVOZDÍ – ÚSEK 1,Středočeský kraj,N006/21/V00007160,128,71,
834,9429.75,2023-09-21,"Praní a čištění zdravotnického prádla, výzva č. 87/2023",Jihomoravský kraj,N006/23/V00026448,4,980,
835,5165449.79,2022-10-18,OPRAVA KOMUNIKACÍ V OBCI PŘEHVOZDÍ ÚSEK 5b - SO 101.2 Dlažba betonová_Opakované,Středočeský kraj,N006/22/V00027869,128,981,
836,3343013.18,2023-04-11,"KŘP Msk - P 2.0 - OOP Jablunkov, Nádražní 202 - zateplení objektu",Moravskoslezský kraj,N006/23/V00009579,52,962,
837,349000.00,2022-02-11,"KŘP KVy - P 2.0 - ÚO Třebíč, Bráfova tř. 1247/11 - rekonstrukce kotelny - projektová dokumentace",Kraj Vysočina,N006/22/V00002392,10,989,
838,2650000.00,2023-03-20,"KŘP Msk - Moravská Ostrava, Dr. Malého v Ostravě - příprava dokumentace pro provedení stavby",Moravskoslezský kraj,N006/23/V00007201,52,991,
839,4074192.00,2019-04-04,Stravování v AČR v letech 2019 - 2023 pro VZ 551240 Lázně Bohdaneč,Pardubický kraj,N006/19/V00007443,4,993,
840,219560.00,2023-09-21,MT 39024 / ÚP 81 / LÚ 3 / OČ,Jihočeský kraj,N006/23/V00025403,11,995,
841,1769643.77,2023-04-14,"KŘP Msk - P 2.0 – OOP, EO Palkovice, Palkovice 448 - zateplení objektu",Moravskoslezský kraj,N006/23/V00009938,52,962,
842,2883762.13,2023-04-06,"KŘP KVy - P 2.0 - ÚO Třebíč, Bráfova tř. 1247/11 - rekonstrukce kotelny - realizace",Kraj Vysočina,N006/23/V00009448,10,1000,
843,1983105.00,2023-04-21,Pronájem datových okruhů L2,Jihomoravský kraj,N006/23/V00011091,14,1004,
844,3345998.92,2022-10-18,OPRAVA KOMUNIKACÍ V OBCI PŘEHVOZDÍ ÚSEK 5b - SO 101.1 Dlažba kamenná_Opakované,Středočeský kraj,N006/22/V00027868,128,981,
845,266400.00,2022-05-05,Pronájem datových okruhů Rosice,Jihomoravský kraj,N006/22/V00010946,14,1004,
846,888000.00,2022-03-15,Pronájem datových okruhů Tišnov,Jihomoravský kraj,N006/22/V00005735,14,1004,
847,566400.00,2021-10-13,Pronájem optické trasy mezi HZS a PČR Vyškov,Jihomoravský kraj,N006/21/V00027210,14,1004,
848,389760.00,2021-10-13,Pronájem optické trasy mezi HZS a PČR Břeclav,Jihomoravský kraj,N006/21/V00027180,14,1004,
849,413223.14,2023-07-12,"RD - servisní údržby, defektace a opravy vozidel Š Fabia a VW Transporter",Česká republika,N006/23/V00019628,4,115,
850,204290.00,2023-08-14,Čištění kanalizace v kasárnách Generála Zahálky Hranice,Olomoucký kraj,N006/23/V00003605,4,1008,
851,1646400.00,2021-06-10,Pronájem datových okruhů L2,Jihomoravský kraj,N006/21/V00014989,14,67,
852,25000.00,2023-09-21,"DP - výzva k RD č.23225012386, RD č.2021020 na TÚ, celkové kontroly a opravy Land Rover",Královéhradecký kraj,N006/23/V00026436,4,1011,
853,1972105.00,2023-05-23,IP telefony a komunikátory,Hlavní město Praha,N006/23/V00014223,129,1012,
854,392160.00,2020-08-18,Pronájem datových okruhů Kyjov,Jihomoravský kraj,N006/20/V00020962,14,67,
855,1585760.00,2023-09-21,nákup kancelářského a sedacího nábytku KŘP Msk,Moravskoslezský kraj,N006/23/V00022247,52,287,
856,216960.00,2019-09-16,Pronájem datových okruhů Slavkov u Brna,Jihomoravský kraj,N006/19/V00026308,14,67,
857,241920.00,2019-04-15,Pronájem datových okruhů Ivančice,Jihomoravský kraj,N006/19/V00010413,14,67,
858,6611.57,2023-09-21,"V 10/6 - DP k RD na provádění oprav a technických údržeb provozní techniky do 3,5 tuny v roce 2023",Zlínský kraj,N006/23/V00025687,4,1013,
902,4468640.00,2022-10-10,Zpracování lesního hospodářského plánu pro lesní hospodářský celek „Národní park Podyjí“ na období 1. 1. 2024 – 31. 12. 2033,Jihomoravský kraj,N006/22/V00026832,152,1052,
903,30775519.05,2023-05-24,"Kompenzace Dluhonice – chodníky a parkovací plochy, veřejné osvětlení",Olomoucký kraj,N006/23/V00014176,29,6,
904,367000000.00,2023-06-05,Rámcová dohoda s více dodavateli o rozvoji a provozu systému SIS 5.0,Hlavní město Praha,N006/23/V00015450,56,1057,
905,367000000.00,2023-06-05,Rámcová dohoda s více dodavateli o rozvoji a provozu systému SIS 5.0,Hlavní město Praha,N006/23/V00015450,56,1061,
906,367000000.00,2023-06-05,Rámcová dohoda s více dodavateli o rozvoji a provozu systému SIS 5.0,Hlavní město Praha,N006/23/V00015450,56,649,
907,367000000.00,2023-06-05,Rámcová dohoda s více dodavateli o rozvoji a provozu systému SIS 5.0,Hlavní město Praha,N006/23/V00015450,56,265,
908,367000000.00,2023-06-05,Rámcová dohoda s více dodavateli o rozvoji a provozu systému SIS 5.0,Hlavní město Praha,N006/23/V00015450,56,1063,
909,367000000.00,2023-06-05,Rámcová dohoda s více dodavateli o rozvoji a provozu systému SIS 5.0,Hlavní město Praha,N006/23/V00015450,56,1064,
910,367000000.00,2023-06-05,Rámcová dohoda s více dodavateli o rozvoji a provozu systému SIS 5.0,Hlavní město Praha,N006/23/V00015450,56,1062,
911,367000000.00,2023-06-05,Rámcová dohoda s více dodavateli o rozvoji a provozu systému SIS 5.0,Hlavní město Praha,N006/23/V00015450,56,1059,
912,367000000.00,2023-06-05,Rámcová dohoda s více dodavateli o rozvoji a provozu systému SIS 5.0,Hlavní město Praha,N006/23/V00015450,56,1060,
913,367000000.00,2023-06-05,Rámcová dohoda s více dodavateli o rozvoji a provozu systému SIS 5.0,Hlavní město Praha,N006/23/V00015450,56,1058,
914,1718472.76,,„Dodávka 4 ks osobních automobilů pro osobní terénní asistenční službu“,Plzeňský kraj,N006/23/V00020365,112,831,
915,9078000.00,2023-07-10,Vodovod Rohozná,Jihočeský kraj,N006/23/V00019456,153,336,
916,9792240.76,2021-10-06,"Centrum pro zdravotně postižené, stavební úpravy objektu libereckého sídla a přístupová rampa Liberec, Liberec XI-Růžodol I č.p. 415, Zahradní 10 - opakované vyhlášení",Liberecký kraj,N006/21/V00025735,154,1067,
917,358812.00,,Pronájem 50 m bazénu Za Lužánkami – Brno 10 - 12 2023,Jihomoravský kraj,N006/23/V00026167,155,1068,
918,4799444.80,2023-07-14,Vzduchotechnika v kuchyni ZŠ Strání,Zlínský kraj,N006/23/V00020011,156,1069,
919,269074.20,2023-06-19,OS Klatovy- fyzické zabezpečení serverovny OSZ Klatovy,Plzeňský kraj,N006/23/V00016115,157,1071,
920,1994600.00,2023-08-30,"Zajištění podpory, údržby a update IS Mercurius",Hlavní město Praha,N006/23/V00023863,158,1072,
921,1996000.00,2023-08-22,Switche ČOI,Česká republika,N006/23/V00023323,158,1073,
922,1250000.00,2023-03-24,Zpracování realizační analýzy národní digitální badatelny,Hlavní město Praha,N006/22/V00034037,159,1074,
923,6253000.00,2023-06-19,Rekonstrukce serverovny Chodovec - realizace,Hlavní město Praha,N006/23/V00014451,159,1077,
924,931457.01,2023-05-16,Oprava sociálního zařízení v I. nadzemním podlaží a sanace omítek v I. PP,Jihomoravský kraj,N006/23/V00013478,158,1079,
925,40276997.20,2020-09-15,Technická podpora internetu MO,,N006/20/V00023730,4,844,
926,2394.00,2023-06-09,Prodloužení registrace domén AČR druhé úrovně,Česká republika,N006/23/V00012605,4,573,
927,239000.00,2022-11-29,Technika zvuková - nákup,Hlavní město Praha,N006/22/V00032385,4,1084,
928,62370000.00,2021-06-14,Technická podpora provozu ŠIS AČR,Česká republika,N006/21/V00015079,4,741,
929,665250.00,2023-09-29,Zásahová obuv pro hasiče - rok 2023,Plzeňský kraj,N006/23/V00023380,37,798,
930,2058381.67,2023-06-07,Rekonstrukce strukturované kabeláže - objekt M. Horákové - realizace,Hlavní město Praha,N006/23/V00013591,159,152,
931,14120.00,2023-09-29,Pořízení 4 ks kovových registratur,Česká republika,N006/23/V00023539,43,1091,
932,1434655.27,2023-02-13,"Oprava plotu 1. mateřské školy Jindřichův Hradec II, Růžová 39 – směrem k zimnímu stadionu",Jihočeský kraj,N006/23/V00003902,36,1093,
933,90909.00,2023-09-29,Nákup PHM bezhotovostně formou odběrových karet,Česká republika,N006/23/V00023796,159,1095,
934,466772.00,2023-05-24,4x Komunikační set pro hasiče a záchranáře,Liberecký kraj,N006/23/V00008334,160,1096,
935,991735.53,2019-06-12,Oprava a údržba digitálních ústředen 2019-2022,Česká republika,N006/19/V00016785,4,1099,
936,244300.00,2023-09-01,Nákup mobilních telefonů z RS č. 2,Hlavní město Praha,N006/23/V00022676,43,297,
937,1983471.00,2019-05-09,"Oprava a údržba hovorových zařízení VICM řady 100, 200 2019-2022",Česká republika,N006/19/V00012924,4,1100,
938,1983471.00,2019-02-06,Oprava a údržba radioreleových komunikačních prostředků Racek a Posel 2019-2022,Česká republika,N006/19/V00002961,4,1101,
939,4958678.00,2018-11-14,Pozáruční servis systémů Letecké datové sítě,Česká republika,N006/18/V00026559,4,1102,
940,472600.00,2020-10-12,Výzva k podání cenové nabídky na zřízení digitálního okruhu Pra-MZ (32),Česká republika,N006/20/V00021570,4,111,
941,592000.00,2020-12-04,Výzva k podání cenové nabídky na zřízení digitálního okruhu Pra-Jin (33),Česká republika,N006/20/V00020489,4,111,
942,707600.00,2020-10-12,Výzva k podání cenové nabídky na zřízení digitálního okruhu Poh-Pol (30),Česká republika,N006/20/V00019194,4,41,
943,807000.00,2020-10-12,Výzva k podání cenové nabídky na zřízení digitálního okruhu Pra-Pol (29),Česká republika,N006/20/V00019181,4,111,
944,402960.00,2023-09-29,Objednávka tiskových služeb,Česká republika,N006/23/V00024608,159,69,
945,236800.00,2020-08-14,Výzva k podání cnové nabídky na řízení digitálního okruhu Pra-Str (26),Česká republika,N006/20/V00013510,4,41,
946,236800.00,2020-08-14,Výzva k podání cenové nabídky na zřízení digitálního okruhu Pra-Pra (25),Česká republika,N006/20/V00013485,4,41,
947,236800.00,2020-08-14,Výzva k podání cenové nabídky na zřízení digitálního okruhu Pra-Mal (24),Česká republika,N006/20/V00013476,4,41,
948,236800.00,2020-08-14,Výzva k podání cenové nabídky na zřízení digitálního okruhu Pra-Val (23),Česká republika,N006/20/V00013467,4,41,
949,313600.00,2020-08-14,Výzva k podání cenové nabídky na zřízení digitálního okruhu Ves-Hra (21),Česká republika,N006/20/V00013445,4,41,
950,300000.00,2023-07-03,Zajištění servisu a oprav služebního vozidla ENYAQ iV 80X v Praze v letech 2023-2025,Hlavní město Praha,N006/23/V00018485,161,1103,
951,476800.00,2020-08-14,Výzva k podání cenové nabídky na zřízení digitálního okruhu Ves-Dej (22),Česká republika,N006/20/V00013455,4,41,
952,225601.00,2020-04-16,Výzva k podání cenové nabídky na zřízení analogového okruhu Dob-Sedl,Česká republika,N006/20/V00002743,4,111,
953,534400.00,2020-08-14,Výzva k podání cenové nabídky na zřízení digitálního okruhu Pra-Ves (20),Česká republika,N006/20/V00013435,4,41,
954,534400.00,2020-08-14,Výzva k podání cenové nabídky na zřízení digitálního okruhu Pra-Ves (19),Česká republika,N006/20/V00013388,4,41,
955,534400.00,2020-08-14,Výzva k podání cenové nabídky na zřízení digitálního okruhu Hra-Jino (18),Česká republika,N006/20/V00012359,4,41,
956,534400.00,2020-08-14,Výzva k podání cenové nabídky na zřízení digitálního okruhu Hra-Jino (17),Česká republika,N006/20/V00012350,4,41,
957,1908500.00,2020-04-16,Výzva k podání cenové nabídky na zřízení dig. okruhu Host-Sla,Česká republika,N006/19/V00036194,4,41,
958,534400.00,2020-08-14,Výzva k podání cenové nabídky na zřízení digitálního okuhu Pra-Jino (16),Česká republika,N006/20/V00012346,4,41,
959,1439800.00,2020-04-16,Výzva k podání cenové nabídky na zříz. dig. okruhu Čerm-Hrad,Česká republika,N006/19/V00036160,4,872,
960,534400.00,2020-08-14,Výzva k podání cenové nabídky na zřízení digitálního okruhu Pra-Jino (15),Česká republika,N006/20/V00012340,4,41,
961,336000.00,2020-08-25,Výzva k podání cenové nabídky na zřízení digitálního okruhu Pra-Smí (14),Česká republika,N006/20/V00012325,4,872,
962,1298000.00,2020-03-03,Výzva k podání cen. nabídky na zřízení dig. okruhu Brus-Stra,Česká republika,N006/19/V00036157,4,111,
963,459680.00,2020-08-14,Výzva k podání cenové nabídky na zřízení dihitálního okuhu Pra-Vin(13),Česká republika,N006/20/V00012320,4,41,
964,355300.00,2020-08-05,Výzva k podání cenové nabídky na zřízení digitálního okruhu Pra-Cho (12),Česká republika,N006/20/V00012312,4,111,
965,1439800.00,2020-04-16,Výzva k podání cenové nabídky na zřízení dig. okruhu Leš-Stra,Česká republika,N006/19/V00036145,4,872,
966,1343000.00,2020-08-05,Výzva k podání cenové nabídky na zřízení digitálního okruhu 325-Stra (11),Česká republika,N006/20/V00012297,4,111,
967,1439800.00,2020-04-16,Výzva k podání cenové nabídky na zřízení dig. okruhu Pos - Stra,Česká republika,N006/19/V00036131,4,872,
968,1683000.00,2020-08-05,Výzva k podání cenové nabídky na zřízení digitálního okruhu Haj-Ost (10),Česká republika,N006/20/V00012284,4,111,
969,1936000.00,2020-03-03,Výzva k podání cenové nabídky na zřízení digitálního okruhu Lib - Sla,Česká republika,N006/19/V00035785,4,111,
970,360000.00,2020-08-14,Výzva k podání cenové nabídky na zřízení digitálního okruhu Pra-Lor (9),Česká republika,N006/20/V00010925,4,41,
971,1416000.00,2019-12-12,Zřízení digitálního okuhu Slav - Jič,Česká republika,N006/19/V00030876,4,111,
972,409000.00,2020-08-25,Výzva k podání cenové nabídky na zřízení digitálního okruhu Pra-Vel (8),Česká republika,N006/20/V00010912,4,872,
973,1310000.00,2019-11-21,Zřízení digitálního okruhu Dej-Kbe,Česká republika,N006/19/V00024759,4,41,
974,1434000.00,2019-12-09,Zřízení digitálního okruhu Strah-Čas,,N006/19/V00024754,4,872,
975,386400.00,2020-08-14,Výzva k podání cenové nabídky na zřízení digitálního okruhu Pra-Lan (7),Česká republika,N006/20/V00010880,4,41,
976,1434000.00,2019-12-09,Zřízení digitálního okruhu Sliv-Hlav,Česká republika,N006/19/V00024743,4,872,
977,1975000.00,2019-11-21,Zřízení digitálního okruhu Sliv-Par,,N006/19/V00024488,4,111,
978,233600.00,2020-08-14,Výzva k podání cenové nabídky na zřízení digitálního okruhu Pra-Hrad (6),Česká republika,N006/20/V00010868,4,41,
979,1212899.75,2023-09-29,ZÚ Lusaka - nákup terénního vozidla,,N006/23/V00027304,74,1104,
980,1590800.00,2019-11-21,Zřízení digitálního okruhu Slav-Sed,,N006/19/V00024476,4,41,
981,414400.00,2020-08-14,Výzva k podání cenové nabídky na zřízení digitálního okruhu Pra-Choc (5),Česká republika,N006/20/V00010856,4,41,
982,2160000.00,2019-11-06,Zřízení digitálního okruhu Hrad-Mot II.,Česká republika,N006/19/V00019212,4,111,
983,1980000.00,2019-11-21,řízení digitálního okruhu Hrad-Mot I.,Česká republika,N006/19/V00019104,4,872,
984,70000.00,2023-09-29,"Kniha Jewish cemeteries in South Bohemia - tisk a vazba, včetně dopravy na doručovací adresu",,N006/23/V00025819,17,1105,
985,1074214.42,2023-08-10,"PS 0503 – Oprava zdí, podlah, krytin, osvětlení, topení, dveří, soc. zařízení, potrubí, výmalba",Královéhradecký kraj,N006/23/V00022400,4,119,
986,2019841.94,2019-08-26,Zřízení optického vlákna 3255-Koš,Česká republika,N006/19/V00017300,4,41,
987,36500.00,2019-08-26,Zřízení optického vlákna Dej-Koš,Česká republika,N006/19/V00017276,4,41,
988,685000.00,2019-11-21,Zřízení digitálního okruhu Lys-Pra,Česká republika,N006/19/V00015881,4,872,
989,685000.00,2019-11-06,Zřízení digitálního okruhu Jan-Lib.,Česká republika,N006/19/V00015863,4,872,
990,1587000.00,2019-11-06,Zřízení digitálního okruhu Olo-Haj.,Česká republika,N006/19/V00015839,4,111,
991,243200.00,2020-08-14,Výzva k podání cenové nabídky na zřízení digitálního okruhu Pra-Mal (3),Hlavní město Praha,N006/20/V00010097,4,41,
992,863000.00,2019-08-26,Zřízení dihitálního okruhu Vyš-NovM,Česká republika,N006/19/V00015310,4,41,
993,233600.00,2020-08-14,Výzva k podání cenové nabídky na zřízení digitálního okruhu Pra-Koš (2),Hlavní město Praha,N006/20/V00010081,4,41,
994,680800.00,2020-08-14,Výzva k podání cenové nabídky na zřízení digitálního okruhu Hrad-Akad (1),Česká republika,N006/20/V00010071,4,41,
995,1098000.00,2019-07-30,Zřízení digitálního okruhu Dej-Trn,Česká republika,N006/19/V00008314,4,111,
996,1300000.00,2020-12-04,Zřízení digitálního okruhu Dej-Trn,Česká republika Hlavní město Praha,N006/20/V00006457,4,111,
997,193000.00,2019-06-12,Zřízení digitálního okruhu Střeš-Brn,Česká republika,N006/19/V00008297,4,41,
998,188001.00,2020-04-16,Výzva k podání cenové nabídky na zřízení analogového okruhu Kou-Knín,Česká republika,N006/20/V00002753,4,111,
999,1897400.00,,zřízení digitálního okruhu Hrad-Vest II,Česká republika,N006/19/V00002513,4,41,
1000,1897400.00,2019-06-12,Zřízení digitálního okruhu Hrad-Vest I.,Česká republika,N006/19/V00002503,4,41,
1001,3653000.00,2019-06-12,Zřízení digitálního okruhu Poh-Rev,Česká republika,N006/19/V00002490,4,872,
1002,225601.00,2020-04-09,Výzva k podání cenové nabídky na zřízení analogového okruhu Lit -Tep,Česká republika,N006/20/V00002948,4,111,
1003,198000.00,2019-03-04,Zřízení digitálního okruhu Lib-Olo,Česká republika,N006/19/V00002193,4,111,
1004,376001.00,2020-04-09,Výzva k podání cenové nabídky na zřízení analogového okruhu Víd-Pos,Česká republika,N006/20/V00002910,4,111,
1005,168000.00,2019-03-04,Zřízení digitálního okruhu Petř-Brn,Česká republika,N006/19/V00002173,4,41,
